AÑO,MES,PAISDESTINO,REGIONORIGEN,PUNTODECONTROL,ADUANA,CODARANCELARIO,SECTOR,PRODUCTOGRAL,PRODUCTO,MONTOFOB(US$),PESOTONELADAS,anio,REGIONSALIDA,VIATRANSPORTE,PUERTOEMBARQUE,MONTOFOB,TIPOOPERACION,CLASIFICACION
2018,Enero,China,Biobío,San Vicente,Talcahuano,8092919,No minero,Frutas y frutos,Cerezas,90790.0,20.24,2018,,,,,,
2018,Enero,China,Biobío,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,129827.05,21.12,2018,,,,,,
2018,Enero,China,Biobío,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,3834695.6,700.36736,2018,,,,,,
2018,Enero,China,Biobío,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,3895135.71,893.592,2018,,,,,,
2018,Enero,China,Coquimbo,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,19854.07,3.156,2018,,,,,,
2018,Enero,China,Coquimbo,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,104191.55,22.08,2018,,,,,,
2018,Enero,China,El Maule,Aerop. A. Merino Benítez,Metropolitana,8092911,No minero,Frutas y frutos,Cerezas,10225.71,2.087,2018,,,,,,
2018,Enero,China,El Maule,Aerop. A. Merino Benítez,Metropolitana,8092911,No minero,Frutas y frutos,Cerezas,15680.0,2.78,2018,,,,,,
2018,Enero,China,El Maule,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,265191.97,44.348,2018,,,,,,
2018,Enero,China,El Maule,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,327834.38,62.154,2018,,,,,,
2018,Enero,China,El Maule,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,1631875.57,212.09683,2018,,,,,,
2018,Enero,China,El Maule,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,5164369.06,596.2782,2018,,,,,,
2018,Enero,China,El Maule,Lirquén,Talcahuano,8092919,No minero,Frutas y frutos,Cerezas,372084.0,61.155,2018,,,,,,
2018,Enero,China,El Maule,Lirquén,Talcahuano,8092919,No minero,Frutas y frutos,Cerezas,375478.33,73.3792,2018,,,,,,
2018,Enero,China,El Maule,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,1237893.0,195.18,2018,,,,,,
2018,Enero,China,El Maule,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,1866003.77,401.832,2018,,,,,,
2018,Enero,China,El Maule,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,7473370.66,1657.7894,2018,,,,,,
2018,Enero,China,El Maule,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,11487303.19,2172.3873,2018,,,,,,
2018,Enero,China,El Maule,San Antonio,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,388263.72,84.272,2018,,,,,,
2018,Enero,China,El Maule,San Antonio,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,359074.68,88.32,2018,,,,,,
2018,Enero,China,El Maule,San Antonio,San Antonio,8092990,No minero,Frutas y frutos,Cerezas,103589.57,22.08,2018,,,,,,
2018,Enero,China,El Maule,San Vicente,Talcahuano,8092919,No minero,Frutas y frutos,Cerezas,1238922.55,236.81983,2018,,,,,,
2018,Enero,China,El Maule,San Vicente,Talcahuano,8092919,No minero,Frutas y frutos,Cerezas,1583730.63,261.0784,2018,,,,,,
2018,Enero,China,El Maule,San Vicente,Talcahuano,8092919,No minero,Frutas y frutos,Cerezas,2500275.43,421.683,2018,,,,,,
2018,Enero,China,El Maule,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,3901484.91,899.24565,2018,,,,,,
2018,Enero,China,El Maule,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,12792616.63,2355.00854,2018,,,,,,
2018,Enero,China,El Maule,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,47332975.92,8346.20175,2018,,,,,,
2018,Enero,China,El Maule,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,51429007.84,10089.27468,2018,,,,,,
2018,Enero,China,El Maule,Valparaíso,Valparaíso,8092990,No minero,Frutas y frutos,Cerezas,1666449.49,356.64,2018,,,,,,
2018,Enero,China,La Araucanía,Lirquén,Talcahuano,8092919,No minero,Frutas y frutos,Cerezas,244018.0,37.93075,2018,,,,,,
2018,Enero,China,La Araucanía,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,237964.2,35.2,2018,,,,,,
2018,Enero,China,La Araucanía,San Vicente,Talcahuano,8092919,No minero,Frutas y frutos,Cerezas,619810.06,88.32,2018,,,,,,
2018,Enero,China,La Araucanía,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,131712.0,21.12,2018,,,,,,
2018,Enero,China,La Araucanía,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,550862.79,91.4408,2018,,,,,,
2018,Enero,China,La Araucanía,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,7038761.18,1005.068,2018,,,,,,
2018,Enero,China,Metropolitana,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,21776.61,8.2078,2018,,,,,,
2018,Enero,China,Metropolitana,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,78312.55,10.289,2018,,,,,,
2018,Enero,China,Metropolitana,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,118205.14,20.136,2018,,,,,,
2018,Enero,China,Metropolitana,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,854269.5,179.71148,2018,,,,,,
2018,Enero,China,Metropolitana,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,3826242.66,776.53978,2018,,,,,,
2018,Enero,China,Metropolitana,San Antonio,San Antonio,8092919,No minero,Frutas y frutos,Cerezas,5133335.36,999.55612,2018,,,,,,
2018,Enero,China,Metropolitana,San Vicente,Talcahuano,8092919,No minero,Frutas y frutos,Cerezas,876911.38,152.1152,2018,,,,,,
2018,Enero,China,Metropolitana,San Vicente,Talcahuano,8092919,No minero,Frutas y frutos,Cerezas,934998.62,215.596,2018,,,,,,
2018,Enero,China,Metropolitana,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,2378388.86,525.90814,2018,,,,,,
2018,Enero,China,Metropolitana,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,4971905.81,967.5662,2018,,,,,,
2018,Enero,China,Metropolitana,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,12872049.95,1981.56837,2018,,,,,,
2018,Enero,China,Metropolitana,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,15649824.13,2963.86065,2018,,,,,,
2018,Enero,China,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,750097.77,141.083,2018,,,,,,
2018,Enero,China,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,861068.42,175.747,2018,,,,,,
2018,Enero,China,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,1393597.9,227.105,2018,,,,,,
2018,Enero,China,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,3108886.88,501.101,2018,,,,,,
2018,Enero,China,O'Higgins,Lirquén,Talcahuano,8092919,No minero,Frutas y frutos,Cerezas,47596.16,18.216,2018,,,,,,
