timestamp,PESOTONELADAS,MONTOFOB,PRECIO_KG,MES
2022-05-01,1314.34293,3907437.76,2.1839197,5
2022-06-01,992.5496,2305899.0300000003,2.1386795,6
2022-07-01,1071.72853,2811956.6399999997,1.0388312,7
2022-08-01,1019.1944699999999,2198144.8200000003,1.0388312,8
2022-09-01,718.13362,1514457.43,1.0389522,9
2022-10-01,1055.73613,2357429.1900000004,1.0796086,10
2022-11-01,7861.84172,50923632.0,5.4479294,11
2022-12-01,125204.21266,676668764.6599998,5.2992353,12
