AÑO,MES,PAISDESTINO,ADUANA,PESOTONELADAS,REGIONSALIDA,VIATRANSPORTE,PUERTOEMBARQUE,MONTOFOB,PRECIO_KG
2018,Enero,Brasil,Metropolitana,4.23658,Valparaíso,,Aerop. A. Merino Benítez,19020.0,4.489470280273239
2018,Enero,Brasil,Los Andes,3.84,Valparaíso,,Cristo Redentor (Los Libertadores),7536.95,1.9627473958333332
2018,Enero,Cambodia,Metropolitana,2.076,O'Higgins,,Aerop. A. Merino Benítez,16448.9,7.9233622350674375
2018,Enero,Canadá,Metropolitana,1.209,El Maule,,Aerop. A. Merino Benítez,8185.5,6.770471464019851
2018,Enero,Canadá,Talcahuano,19.9076,El Maule,,San Vicente,76450.0,3.8402419176595877
2018,Enero,Canadá,Metropolitana,12.292,Metropolitana,,Aerop. A. Merino Benítez,66420.0,5.403514480963229
2018,Enero,Canadá,Chañaral,6.72,Metropolitana,,Caldera,9952.56,1.4810357142857142
2018,Enero,Canadá,Metropolitana,7.15,O'Higgins,,Aerop. A. Merino Benítez,6907.72,0.9661146853146853
2018,Enero,Canadá,Metropolitana,9.258,O'Higgins,,Aerop. A. Merino Benítez,53305.11,5.757734931950746
2018,Enero,Canadá,Metropolitana,12.677,O'Higgins,,Aerop. A. Merino Benítez,42122.11,3.3227190975782914
2018,Enero,Canadá,Chañaral,53.9048,O'Higgins,,Caldera,157084.23,2.9141046808447486
2018,Enero,Canadá,Los Andes,14.848,O'Higgins,,Cristo Redentor (Los Libertadores),92178.0,6.208108836206896
2018,Enero,Canadá,Valparaíso,33.664,O'Higgins,,Valparaíso,187999.96,5.584599572243345
2018,Enero,Canadá,Valparaíso,104.9496,O'Higgins,,Valparaíso,414578.04,3.950258409750966
2018,Enero,China,Metropolitana,1.42,Biobío,,Aerop. A. Merino Benítez,10412.76,7.332929577464789
2018,Enero,China,San Antonio,110.416,Biobío,,San Antonio,549984.66,4.981023221272279
2018,Enero,China,San Antonio,140.1276,Biobío,,San Antonio,625605.7,4.464543030780518
2018,Enero,China,Talcahuano,20.24,Biobío,,San Vicente,90790.0,4.4856719367588935
2018,Enero,China,Valparaíso,21.12,Biobío,,Valparaíso,129827.05,6.147114109848485
2018,Enero,China,Valparaíso,700.36736,Biobío,,Valparaíso,3834695.6,5.475263153325706
2018,Enero,China,Valparaíso,893.592,Biobío,,Valparaíso,3895135.71,4.358964393145865
