AÑO,MES,PAISDESTINO,REGIONORIGEN,PUNTODECONTROL,ADUANA,MONTOFOB(US$),PESOTONELADAS,REGIONSALIDA,VIATRANSPORTE,PUERTOEMBARQUE,MONTOFOB
2018,Enero,China,El Maule,Valparaíso,Valparaíso,12792616.63,2355.00854,,,,
2018,Enero,China,El Maule,Valparaíso,Valparaíso,47332975.92,8346.20175,,,,
2018,Enero,China,El Maule,Valparaíso,Valparaíso,51429007.84,10089.27468,,,,
2018,Enero,China,El Maule,Valparaíso,Valparaíso,1666449.49,356.64,,,,
2018,Enero,China,La Araucanía,Lirquén,Talcahuano,244018.0,37.93075,,,,
2018,Enero,China,La Araucanía,San Antonio,San Antonio,237964.2,35.2,,,,
2018,Enero,China,La Araucanía,San Vicente,Talcahuano,619810.06,88.32,,,,
2018,Enero,China,La Araucanía,Valparaíso,Valparaíso,131712.0,21.12,,,,
2018,Enero,China,La Araucanía,Valparaíso,Valparaíso,550862.79,91.4408,,,,
2018,Enero,China,La Araucanía,Valparaíso,Valparaíso,7038761.18,1005.068,,,,
2018,Enero,China,Metropolitana,Aerop. A. Merino Benítez,Metropolitana,21776.61,8.2078,,,,
2018,Enero,China,Metropolitana,Aerop. A. Merino Benítez,Metropolitana,78312.55,10.289,,,,
2018,Enero,China,Metropolitana,Aerop. A. Merino Benítez,Metropolitana,118205.14,20.136,,,,
2018,Enero,China,Metropolitana,San Antonio,San Antonio,854269.5,179.71148,,,,
2018,Enero,China,Metropolitana,San Antonio,San Antonio,3826242.66,776.53978,,,,
2018,Enero,China,Metropolitana,San Antonio,San Antonio,5133335.36,999.55612,,,,
2018,Enero,China,Metropolitana,San Vicente,Talcahuano,876911.38,152.1152,,,,
2018,Enero,China,Metropolitana,San Vicente,Talcahuano,934998.62,215.596,,,,
2018,Enero,China,Metropolitana,Valparaíso,Valparaíso,2378388.86,525.90814,,,,
2018,Enero,China,Metropolitana,Valparaíso,Valparaíso,4971905.81,967.5662,,,,
2018,Enero,China,Metropolitana,Valparaíso,Valparaíso,12872049.95,1981.56837,,,,
2018,Enero,China,Metropolitana,Valparaíso,Valparaíso,15649824.13,2963.86065,,,,
2018,Enero,China,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,750097.77,141.083,,,,
2018,Enero,China,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,861068.42,175.747,,,,
2018,Enero,China,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,1393597.9,227.105,,,,
2018,Enero,China,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,3108886.88,501.101,,,,
2018,Enero,China,O'Higgins,Lirquén,Talcahuano,47596.16,18.216,,,,
2018,Enero,China,O'Higgins,Lirquén,Talcahuano,84344.0,23.04,,,,
2018,Enero,China,O'Higgins,San Antonio,San Antonio,3172399.24,699.0586,,,,
2018,Enero,China,O'Higgins,San Antonio,San Antonio,15478107.56,3273.0435,,,,
2018,Enero,China,O'Higgins,San Antonio,San Antonio,19508461.37,3997.0316,,,,
2018,Enero,China,O'Higgins,San Antonio,San Antonio,44653831.64,8637.38658,,,,
2018,Enero,China,O'Higgins,San Antonio,Valparaíso,62700.02,21.344,,,,
2018,Enero,China,O'Higgins,San Vicente,Talcahuano,77405.0,21.344,,,,
2018,Enero,China,O'Higgins,San Vicente,Talcahuano,675601.28,152.2282,,,,
2018,Enero,China,O'Higgins,San Vicente,Talcahuano,1030031.0,196.38,,,,
2018,Enero,China,O'Higgins,Valparaíso,Valparaíso,145448.0,44.16,,,,
2018,Enero,China,O'Higgins,Valparaíso,Valparaíso,13013261.93,3271.8974,,,,
2018,Enero,China,O'Higgins,Valparaíso,Valparaíso,67212458.58,13135.39824,,,,
2018,Enero,China,O'Higgins,Valparaíso,Valparaíso,94283228.79,18237.04303,,,,
2018,Enero,China,O'Higgins,Valparaíso,Valparaíso,111513898.89,21859.51504,,,,
2018,Enero,China,Valparaíso,Aerop. A. Merino Benítez,Metropolitana,53175.4,9.989,,,,
2018,Enero,China,Valparaíso,Lirquén,Talcahuano,55100.51,21.888,,,,
2018,Enero,China,Valparaíso,San Antonio,San Antonio,185700.0,42.688,,,,
2018,Enero,China,Valparaíso,San Antonio,San Antonio,1027988.26,200.4264,,,,
2018,Enero,China,Valparaíso,San Antonio,San Antonio,1213770.04,264.4248,,,,
2018,Enero,China,Valparaíso,San Vicente,Talcahuano,125448.13,20.3136,,,,
2018,Enero,China,Valparaíso,Valparaíso,Valparaíso,317291.94,62.912,,,,
2018,Enero,China,Valparaíso,Valparaíso,Valparaíso,2423666.88,471.0032,,,,
2018,Enero,China,Valparaíso,Valparaíso,Valparaíso,2203142.75,544.7043,,,,
2018,Enero,China,Valparaíso,Valparaíso,Valparaíso,7204656.96,1412.1416,,,,
2018,Enero,China,Valparaíso,Valparaíso,Valparaíso,110400.0,40.48,,,,
2018,Enero,Chipre,El Maule,Aerop. A. Merino Benítez,Metropolitana,2529.4,0.53,,,,
2018,Enero,Colombia,El Maule,Valparaíso,Valparaíso,31200.0,37.1,,,,
2018,Enero,Colombia,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,74294.2,17.703,,,,
2018,Enero,Colombia,O'Higgins,San Antonio,San Antonio,5426.88,3.96,,,,
2018,Enero,Colombia,O'Higgins,San Antonio,San Antonio,69613.81,40.8536,,,,
2018,Enero,Colombia,O'Higgins,Valparaíso,Valparaíso,15000.0,6.64852,,,,
2018,Enero,Colombia,O'Higgins,Valparaíso,Valparaíso,88523.0,22.2624,,,,
2018,Enero,Colombia,Valparaíso,San Antonio,San Antonio,11040.0,3.2016,,,,
2018,Enero,Colombia,Valparaíso,Valparaíso,Valparaíso,6756.18,2.64,,,,
2018,Enero,Corea del Sur,Biobío,Aerop. A. Merino Benítez,Metropolitana,13059.0,3.434,,,,
2018,Enero,Corea del Sur,El Maule,Aerop. A. Merino Benítez,Metropolitana,20092.44,4.176,,,,
2018,Enero,Corea del Sur,El Maule,Aerop. A. Merino Benítez,Metropolitana,39866.7,4.908,,,,
2018,Enero,Corea del Sur,El Maule,Aerop. A. Merino Benítez,Metropolitana,84411.2,16.34649,,,,
2018,Enero,Corea del Sur,El Maule,Aerop. A. Merino Benítez,Metropolitana,362448.57,46.872,,,,
2018,Enero,Corea del Sur,El Maule,Lirquén,Talcahuano,145728.0,22.08,,,,
2018,Enero,Corea del Sur,El Maule,San Antonio,San Antonio,248612.0,43.248,,,,
2018,Enero,Corea del Sur,El Maule,San Antonio,San Antonio,825670.62,131.686,,,,
2018,Enero,Corea del Sur,El Maule,Valparaíso,Valparaíso,106395.2,21.12,,,,
2018,Enero,Corea del Sur,El Maule,Valparaíso,Valparaíso,118656.0,21.312,,,,
2018,Enero,Corea del Sur,El Maule,Valparaíso,Valparaíso,223503.07,33.506,,,,
2018,Enero,Corea del Sur,El Maule,Valparaíso,Valparaíso,311123.08,66.24,,,,
2018,Enero,Corea del Sur,Metropolitana,Aerop. A. Merino Benítez,Metropolitana,42082.0,6.952,,,,
2018,Enero,Corea del Sur,Metropolitana,Aerop. A. Merino Benítez,Metropolitana,170471.08,27.39,,,,
2018,Enero,Corea del Sur,Metropolitana,San Antonio,San Antonio,120734.0,21.344,,,,
2018,Enero,Corea del Sur,Metropolitana,San Antonio,San Antonio,466250.0,69.6,,,,
2018,Enero,Corea del Sur,Metropolitana,Valparaíso,Valparaíso,121486.8,21.2952,,,,
2018,Enero,Corea del Sur,Metropolitana,Valparaíso,Valparaíso,169000.0,23.2,,,,
2018,Enero,Corea del Sur,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,167498.0,28.284,,,,
2018,Enero,Corea del Sur,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,236842.87,42.705,,,,
2018,Enero,Corea del Sur,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,306788.05,57.581,,,,
2018,Enero,Corea del Sur,O'Higgins,San Antonio,San Antonio,453776.9,89.4832,,,,
2018,Enero,Corea del Sur,O'Higgins,San Antonio,San Antonio,608506.0,114.3245,,,,
2018,Enero,Corea del Sur,O'Higgins,San Antonio,San Antonio,1149015.95,193.566,,,,
2018,Enero,Corea del Sur,O'Higgins,San Antonio,San Antonio,1673225.87,313.1052,,,,
2018,Enero,Corea del Sur,O'Higgins,Valparaíso,Valparaíso,128582.08,24.0,,,,
2018,Enero,Corea del Sur,O'Higgins,Valparaíso,Valparaíso,887175.8,146.298,,,,
2018,Enero,Corea del Sur,O'Higgins,Valparaíso,Valparaíso,1563324.52,282.276,,,,
2018,Enero,Costa Rica,Atacama,San Antonio,San Antonio,7166.07,2.208,,,,
2018,Enero,Costa Rica,El Maule,Aerop. A. Merino Benítez,Metropolitana,1674.0,0.623,,,,
2018,Enero,Costa Rica,Metropolitana,Aerop. A. Merino Benítez,Metropolitana,4816.0,1.315,,,,
2018,Enero,Costa Rica,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,9562.4,2.15,,,,
2018,Enero,Costa Rica,O'Higgins,Valparaíso,Valparaíso,15240.0,7.488,,,,
2018,Enero,Ecuador,Atacama,San Antonio,San Antonio,74590.94,50.4,,,,
2018,Enero,Ecuador,El Maule,Aerop. A. Merino Benítez,Metropolitana,3600.0,1.383,,,,
2018,Enero,Ecuador,El Maule,San Antonio,San Antonio,84720.0,45.3692,,,,
2018,Enero,Ecuador,El Maule,San Antonio,San Antonio,204840.0,159.5872,,,,
2018,Enero,Ecuador,Metropolitana,San Antonio,San Antonio,74400.0,62.436,,,,
2018,Enero,Ecuador,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,7310.34,1.394,,,,
2018,Enero,Ecuador,O'Higgins,San Antonio,San Antonio,177600.0,159.84,,,,
2018,Enero,Ecuador,O'Higgins,San Antonio,San Antonio,263541.4,204.16,,,,
2018,Enero,Ecuador,O'Higgins,San Antonio,San Antonio,855497.3,605.5928,,,,
2018,Enero,Ecuador,Valparaíso,San Antonio,San Antonio,119306.79,50.88,,,,
2018,Enero,Ecuador,Valparaíso,San Antonio,San Antonio,126131.3,91.52,,,,
2018,Enero,El Salvador,Atacama,Valparaíso,Valparaíso,2160.0,0.72,,,,
2018,Enero,El Salvador,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,2134.8,0.718,,,,
2018,Enero,El Salvador,O'Higgins,Valparaíso,Valparaíso,5479.52,1.104,,,,
2018,Enero,Emiratos Árabes Unidos,El Maule,Aerop. A. Merino Benítez,Metropolitana,9906.14,1.312,,,,
2018,Enero,Emiratos Árabes Unidos,El Maule,Aerop. A. Merino Benítez,Metropolitana,25122.09,3.316,,,,
2018,Enero,Emiratos Árabes Unidos,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,10861.09,1.345,,,,
2018,Enero,Emiratos Árabes Unidos,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,7764.74,2.093,,,,
2018,Enero,Emiratos Árabes Unidos,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,64137.39,8.426,,,,
2018,Enero,España,El Maule,Aerop. A. Merino Benítez,Metropolitana,5985.58,1.83,,,,
2018,Enero,España,El Maule,Aerop. A. Merino Benítez,Metropolitana,28511.54,4.933,,,,
2018,Enero,España,El Maule,Aerop. A. Merino Benítez,Metropolitana,41453.4,9.3728,,,,
2018,Enero,España,El Maule,Aerop. A. Merino Benítez,Metropolitana,56851.99,10.104,,,,
2018,Enero,España,El Maule,San Antonio,San Antonio,159013.29,22.56,,,,
2018,Enero,España,Metropolitana,Aerop. A. Merino Benítez,Metropolitana,10590.75,1.526,,,,
2018,Enero,España,Metropolitana,San Antonio,San Antonio,21562.02,21.344,,,,
2018,Enero,España,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,62621.65,10.337,,,,
2018,Enero,España,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,78486.15,28.2162,,,,
2018,Enero,España,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,154604.11,30.509,,,,
2018,Enero,España,O'Higgins,Cristo Redentor (Los Libertadores),Los Andes,152061.55,24.9771,,,,
2018,Enero,España,O'Higgins,San Antonio,San Antonio,320047.3,83.8912,,,,
2018,Enero,España,Valparaíso,San Antonio,San Antonio,81871.23,12.597,,,,
2018,Enero,Estados Unidos de América,Biobío,Aerop. A. Merino Benítez,Metropolitana,26880.0,6.529,,,,
2018,Enero,Estados Unidos de América,Coquimbo,Aerop. A. Merino Benítez,Metropolitana,14400.0,2.793,,,,
2018,Enero,Estados Unidos de América,El Maule,Aerop. A. Merino Benítez,Metropolitana,78121.38,9.106,,,,
2018,Enero,Estados Unidos de América,El Maule,Aerop. A. Merino Benítez,Metropolitana,33508.0,8.676,,,,
2018,Enero,Estados Unidos de América,El Maule,Aerop. A. Merino Benítez,Metropolitana,47743.27,12.371,,,,
2018,Enero,Estados Unidos de América,El Maule,Aerop. A. Merino Benítez,Metropolitana,42064.0,13.049,,,,
2018,Enero,Estados Unidos de América,El Maule,Aerop. A. Merino Benítez,Metropolitana,218835.27,42.7644,,,,
2018,Enero,Estados Unidos de América,El Maule,Caldera,Chañaral,27529.33,18.24,,,,
2018,Enero,Estados Unidos de América,El Maule,Cristo Redentor (Los Libertadores),Los Andes,62720.0,17.8752,,,,
2018,Enero,Estados Unidos de América,El Maule,San Antonio,San Antonio,80640.0,18.816,,,,
2018,Enero,Estados Unidos de América,El Maule,Valparaíso,Valparaíso,53803.1,6.96,,,,
2018,Enero,Estados Unidos de América,El Maule,Valparaíso,Valparaíso,130760.44,43.2,,,,
2018,Enero,Estados Unidos de América,El Maule,Valparaíso,Valparaíso,241830.87,105.3128,,,,
2018,Enero,Estados Unidos de América,El Maule,Valparaíso,Valparaíso,412854.45,140.06,,,,
2018,Enero,Estados Unidos de América,Metropolitana,Aerop. A. Merino Benítez,Metropolitana,8050.77,4.034,,,,
2018,Enero,Estados Unidos de América,Metropolitana,Aerop. A. Merino Benítez,Metropolitana,120697.3,30.979,,,,
2018,Enero,Estados Unidos de América,Metropolitana,Aerop. A. Merino Benítez,Metropolitana,161455.89,34.453,,,,
2018,Enero,Estados Unidos de América,Metropolitana,Caldera,Chañaral,27559.07,6.788,,,,
2018,Enero,Estados Unidos de América,Metropolitana,Valparaíso,Valparaíso,45636.14,9.2526,,,,
2018,Enero,Estados Unidos de América,Metropolitana,Valparaíso,Valparaíso,85592.52,34.7537,,,,
2018,Enero,Estados Unidos de América,Metropolitana,Valparaíso,Valparaíso,521808.28,118.76104,,,,
2018,Enero,Estados Unidos de América,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,87779.67,14.229,,,,
