timestamp,PESOTONELADAS,MONTOFOB,PRECIO_KG
2018-01-01,134713.81582000002,675691138.94,5.015752354924274
2018-02-01,31044.32834,144223381.28,4.645724001513379
2018-03-01,650.76508,2216123.83,3.405412948709541
2018-04-01,375.81,849453.07,2.260325882759905
2018-05-01,441.55,873018.0900000001,1.9771670026044617
2018-06-01,842.9970000000001,3020869.6799999997,3.5834880551176336
2018-07-01,647.855,698057.19,1.0774898549829823
2018-08-01,246.23999999999998,254770.11,1.0346414473684211
2018-09-01,264.84999999999997,282505.11,1.0666607891259205
2018-10-01,630.0992,678353.37,1.0765818620306136
2018-11-01,3497.5882,22174373.729999997,6.3399040887660805
2018-12-01,48137.25374,290630225.12,6.037532317272572
2019-01-01,151864.19381,953057131.0799999,6.275719820251947
2019-02-01,9869.967050000001,67905086.2,6.879970911351725
2019-03-01,342.02545,1968298.74,5.754831226740584
2019-04-01,553.975,913718.04,1.64938497224604
2019-05-01,459.54,937862.3200000001,2.04087200243722
2019-06-01,324.48,397500.5,1.2250385231755425
2019-07-01,221.22000000000003,318942.0,1.441741253051261
2019-08-01,579.668,552406.5700000001,0.9529706142136535
2019-09-01,597.542,615157.19,1.0294794173463957
2019-10-01,416.151,525344.74,1.2623897095044827
2019-11-01,6581.11169,46295904.13,7.03466318621315
2019-12-01,92754.20187,558776301.64,6.024269417175892
2020-01-01,155518.14526999998,892166170.9300001,5.736733609966104
2020-02-01,15894.55986,65200163.18999999,4.102042696638722
2020-03-01,811.33089,4175760.8099999996,5.14680367956901
2020-04-01,213.17700000000002,551496.47,2.5870355150884
2020-05-01,560.8539999999999,997535.8,1.7786015611906132
2020-06-01,207.665,368040.0,1.772277466111285
2020-07-01,385.34099999999995,397100.93,1.0305182422841068
2020-08-01,308.13599999999997,317928.09,1.0317784679492175
2020-09-01,520.39,532495.1,1.023261592267338
2020-10-01,428.102,470771.33,1.09967094290613
2020-11-01,5450.02933,43648639.75,8.00888162376183
2020-12-01,98237.52417,576400725.11,5.867419094485104
2021-01-01,223043.83959,900158063.79,4.035789849406618
2021-02-01,85275.81043000001,269433110.21999997,3.1595491014555455
2021-03-01,4811.45734,17229441.770000003,3.580919574359149
2021-04-01,446.67471,1402457.5100000002,3.139773706910786
2021-05-01,395.63900000000007,755490.42,1.9095448628674117
2021-06-01,253.04749999999999,474532.59,1.875270808840238
2021-07-01,381.76300000000003,580379.6,1.5202615235106596
2021-08-01,343.976,472668.01,1.374130782380166
2021-09-01,311.91200000000003,436000.95999999996,1.397833235015004
2021-10-01,362.19000000000005,391194.98,1.0800822220381565
2021-11-01,2736.65139,26050922.17,9.519269522304775
2021-12-01,80760.96141,602977355.8800001,7.466198338314211
2022-01-01,225353.43330999996,1134952743.13,5.036323283207938
2022-02-01,103276.46479,335388126.43,3.2474787659702584
2022-03-01,9508.017850000002,24256293.59,2.5511409394335534
2022-04-01,1203.29701,3237968.4299999997,2.6909137171378825
2022-05-01,1314.34293,3907437.76,2.972921047325145
2022-06-01,992.5496,2305899.0300000003,2.3232078578239315
2022-07-01,1071.72853,2811956.6399999997,2.6237583131243127
2022-08-01,1019.1944699999999,2198144.8200000003,2.1567472005612434
2022-09-01,718.13362,1514457.43,2.1088797235255465
2022-10-01,1055.73613,2357429.1900000004,2.232971973782881
2022-11-01,7861.84172,50923632.0,6.477315852143612
2022-12-01,125204.21266,676668764.6599998,5.404520744821397
